City,Country,Year,Region,Summer,Winter,Cancelled
Athens,Greece,1896,Europe,I,,
Paris,France,1900,Europe,II,,
St. Louis,United States,1904,North America,III,,
London,United Kingdom,1908,Europe,IV,,
Stockholm,Sweden,1912,Europe,V,,
Berlin,Germany,1916,Europe,VI,,
Antwerp,Belgium,1920,Europe,VII,,
Chamonix,France,1924,Europe,,I,
Paris,France,1924,Europe,VIII,,
St. Moritz,Switzerland,1928,Europe,,II,
Amsterdam,Netherlands,1928,Europe,IX,,
Lake Placid,United States,1932,North America,,III,
Los Angeles,United States,1932,,X,,
Garmisch-Partenkirchen,Germany,1936,Europe,,IV,
Berlin,Germany,1936,Europe,XI,,
Sapporo,Japan,1940,Asia,,V,Cancelled due to WWII
Garmisch-Partenkirchen,Germany,1940,Europe,,V,Cancelled due to WWII
Tokyo,Japan,1940,Asia,XII,,Cancelled due to WWII
Helsinki,Finland,1940,Europe,XII,,Cancelled due to WWII
Cortina d'Ampezzo,Italy,1944,Europe,XIII,,
London,United Kingdom,1944,Europe,XIII,,
St. Moritz,Switzerland,1948,Europe,,V,
London,United Kingdom,1948,Europe,XIV,,
Oslo,Norway,1952,Europe,,VI,
Helsinki,Finland,1952,Europe,XV,,
Cortina d'Ampezzo,Italy,1956,Europe,,VII,
Melbourne,Australia,1956,Oceania,XVI,,
Stockholm,Sweden,1956,Europe,XVI,,
Squaw Valley,United States,1960,North America,,VIII,
Rome,Italy,1960,Europe,XVII,,
Innsbruck,Austria,1964,Europe,,IX,
Tokyo,Japan,1964,Asia,XVIII,,
Grenoble,France,1968,Europe,,X,
Mexico City,Mexico,1968,North America,XIX,,
Sapporo,Japan,1972,Asia,,XI,
Munich,FR Germany,1972,Europe,XX,,
Innsbruck,Austria,1976,Europe,,XII,
Montreal,Canada,1976,North America,XXI,,
Lake Placid,United States,1980,North America,,XIII,
Moscow,Soviet Union,1980,Europe,XXII,,
Sarajevo,Yugoslavia,1984,Europe,,XIV,
Los Angeles,United States,1984,North America,XXIII,,
Calgary,Canada,1988,North America,,XV,
Seoul,South Korea,1988,Asia,XXIV,,
Albertville,France,1992,Europe,,XVI,
Barcelona,Spain,1992,Europe,XXV,,
Lillehammer,Norway,1994,Europe,,XVII,
Atlanta,United States,1996,North America,XXVI,,
Nagano,Japan,1998,Asia,,XVIII,
Sydney,Australia,2000,Oceania,XXVII,,
Salt Lake City,United States,2002,North America,,XIX,
Athens,Greece,2004,Europe,XXVIII,,
Turin,Italy,2006,Europe,,XX,
Beijing,China,2008,Asia,XXIX,,
Vancouver,Canada,2010,North America,,XXI,
London,United Kingdom,2012,Europe,XXX,,
Sochi,Russia,2014,Europe,,XXII,
Rio de Janeiro,Brazil,2016,South America,XXXI,,
Pyeongchang,South Korea,2018,Asia,,XXIII,
Tokyo,Japan,2020,Asia,XXXII,,
Beijing,China,2022,Asia,,XXIV,
Paris,France,2024,Europe,XXXIII,,
Milan–Cortina d'Ampezzo,Italy,2026,Europe,,XXV,
Los Angeles,United States,2028,North America,XXXIV,,
French Alps,France,2030,Europe,,XXVI,
Brisbane,Australia,2032,Oceania,XXXV,,
Salt Lake City,United States,2034,North America,,XXVII,
